name;category;description;price;image;pages;printed_in;first_name;last_name;birth_date;author_description;author_image
Как перестать бухать и начать дегустировать;вина;Изучать вино - это значит окунуться в дивный мир, где соединяются между собой ремесло виноделов, география, история, культура и гастрономия. Хватит просто бухать, пора научиться дегустировать… Ты чувствуешь, что тебе больше не достаточно просто оценивать вкус и терпкость выпитого вина? Что-то в тебе переломилось… Однажды ты проснулся и понял… нет, не то, что больше никогда в жизни не будешь пить, а то, что хочешь овладеть искусством дегустации, говорить о винах, чувствовать вина, выбирать их. За 10 недель Мари-Доминик Брадфор, энолог и  основательница Trois Fois Vin, предлагает тебе пройти увлекательный и познавательный курс энологии. 4 главы, позволяющие открыть для себя вселенную винной дегустации, изучив сорта винограда, винодельческие регионы и основы сочетаемости блюд и вин. 38 уроков, сопровождаемых разнообразными иллюстрациями, упрощающими понимание базовых основ. 90 заданий с ответами - от самых простых до самых сложных, для проверки полученных знаний и закрепления пройденного материала. Упражнения по дегустации - для тренировки, в одиночку или с друзьями, и получения еще большего опыта в искусстве дегустации.;1000;media/image1.jpg;342;2016;Мари-Доминик ;Брадфор;1967;Этот писатель, опираясь на собственный опыт алкоголизма, показывает, что даже самое дешевое вино может принести радость и удовольствие.;media/authors/A1.jpg
Винный гид покупателя. 7-е изд., обнов. и доп.;вина;Роберт Паркер - самый влиятельный винный критик в мире с 26-летним профессиональным опытом. Ежегодно он дегустирует более 10 000 вин. Обонятельные способности великого сомелье застрахованы на 1 миллион долларов. Его уникальная 100-балльная система оценки качества вина признана наиболее объективной и является доминирующей среди самых крупных изданий в мире. Производители всегда ждут оценки Паркера перед тем, как установить цену на вино. И никто не будет покупать вино, не посоветовавшись с Паркером!;1000;media/image2.jpg;165;2017;Роберт;Паркер;1979;Мастер своего дела, винодел и повар, который расскажет, что пить – это искусство, а вино – лучший из всех напитков.;media/authors/A2.jpg
Как выбрать лучшее вино за 7 секунд;вина;"Вы можете потратить всего лишь коротких семь секунд, чтобы выбрать себе йогурт, яблоко или подарки в супермаркете... Но когда дело доходит до вина, все становится не так просто. Эта книга, в которой знания о вине обобщены в наглядных схемах и пиктограммах, позволит каждому любителю быстро выбрать бутылку в соответствии с его вкусами, его бюджетом, его меню. Это настоящая шпаргалка, чтобы найти ""свое"" вино и сделать удачную покупку.";1000;media/image3.jpg;313;2019;Себастьен;Дюран-Рюэль;1981;Голландский повар, является автором многочисленных книг и работ, посвященных кулинарии и напиткам.;media/authors/A3.jpg
Просто о лучших винах. Новая энциклопедия;вина;В эту подарочную энциклопедию вошли лучшие статьи самого популярного журнала о вине в России Simple Wine News по темам, с которых стоит начать знакомство с миром вина: просто, увлекательно и лаконично здесь рассказывается о его истории и производстве, о главных сортах винограда и важных винных категориях. В книге много практических советов о том, как выбирать и покупать вино, с чем его подавать и как хранить. Она заинтересует и знатоков вина: в каждом разделе сокрыто большое количество эксклюзивной информации, которую вы не найдете в энциклопедиях и Интернете! Книга содержит множество интервью с виноделами и мировыми экспертами, передающими свой уникальный многолетний опыт работы на винодельнях и дегустациях, а также наблюдения компетентных журналистов авторского коллектива Simple Wine News, вынесенные из поездок по винным регионам мира. Более 500 иллюстраций, карты 25 важнейших винных регионов, схемы, демонстрирующие все важнейшие этапы и технологии современного виноделия.;1000;media/image4.jpg;514;2015;сборник;сборник;1950;Энциклопедия вин, составленная мастерами своего дела, виноделами Европы и Грузии.;media/authors/A4.png
Вино. Полный справочник;вина;Книга самого знаменитого винного эксперта Великобритании Оза Кларка поможет вам расширить свои представления о вине, откроет мир новых, волнующих, изысканных ощущений, ароматов и вкусов. Здесь вы найдете информацию о сортах винограда и регионах его произрастания, узнаете историю виноделия и его современное состояние. Научитесь выбирать самое лучщее вино вне зависимости от его родословной и получать удовольствие от каждой купленной бутылки.;1000;media/image5.jpg;176;2016;Oз;Кларк;1969;Автор умеет интересно и методично рассказывать про свое главное увлечение – вина. ;media/authors/A5.jpg
Пиво российской империи;пива;Иллюстрированый альбом о пиве и его производстве в дореволюционной России.Составлен на основе коллекции старинных бутылок и этикеток, собранных Иваном Горбуновым и Сергеем Зайцевым.Рассказывает (кратко) об истории пивоварения, атрибутике и рекламе, имеет множество цветных фотографий, ярко и красочно оформлен.;1000;media/image6.jpg;154;2011;Иван;Горбунов;1975;Историк и любитель пива, который умело совместил свои увлечения и стал популярным как в России, так и в Чехии.;media/authors/A6.jpg
Домашнее пиво. Технологии и рецепты;пива;Пиво, являясь одним из самых древних слабоалкогольных напитков, во многих странах остается наиболее популярным и в наши дни. Приготовление хорошего пива требует понимания различий между многочисленными видами солода и хмеля и точного соблюдения многоэтапного технологического процесса. В книге описана технология приготовления пива в домашних условиях. Представлены рецепты изготовления различных сортов пива, приведен обзор имеющихся в продаже домашних пивоварен, описаны способы контроля качества получаемого напитка.;1000;media/image7.jpg;89;2017;Юлиан;Гайдук;1980;Автор – специалист по приготовлению пива, окончил Технологический институт и сейчас ведет семинары и мастер-классы в России и Европе.;media/authors/A7.jpg
Пиво, квас, брага;пива;Россия издавна славилась своими тонизирующими напитками, особенно квасом. Сегодня мы не знаем не только вкуса, но даже названий десятков и сотен разноцветных квасов, которыми в старину потчевали гостей хлебосольные русские хозяева.;1000;media/image8.jpg;154;2019;Виктория;Рошаль;1970;Писательница в доступной форме объясняет способы приготовления старинных русских напитков, которые со временем становятся все популярнее.;media/authors/A8.jpg
Домашнее пиво. Технологии и рецепты;пива;Все, что нужно, чтобы стать домашним пивоваром – это комплект несложного оборудования, баночка пивного экстракта, инструкция и 3–4 недели терпения. Чем больше терпения, тем вкуснее ваше домашнее пиво!;1000;media/image9.jpg;251;2018;Сергей;Кашин;1973;Богатый опыт и работа на различных пивзаводах стали основой творчества этого писателя, который умеет объяснять простым языком самые сложные процессы приготовления спиртных напитков.;media/authors/A9.jpg
Лучшие рецепты самогона;самогон;Эта книга весело и просто рассказывает вам о премудростях получения самогона из яблок, груш, картофеля и многих других видов сырья. Вы узнаете, что такое бражник и как сделать его самому, а также о безаппаратном способе получения самогона, способах перегонки, очистки, ароматизирования, подкрашивания и подслащивания этого популярного напитка. Вы удивитесь простоте рецептов приготовления клюквенной, пшенной, свекольной браги и крепких настоек. А кроме того, вам расскажут о лечебных самогонах, помогающих от самых разных недугов.;1000;media/image10.jpg;131;2018;Агафья;Тихоновна;1955;Опытная и популярная писательница, которая хорошо разбирается не в одном виде напитка.;media/authors/A10.jpg
